Freq. Range[8,1.299000e+01];;;;;
Name;#Ephocs;AC_A4.set;AC_B4.set;BL_A1.set;BL_B1.set
FrontalD;;1.080.700;5.322.924;-1.301.939;3.981.240
FrontalE;;1.452.525;5.822.346;-1.406.902;3.778.177
CentralD;;0.239441;2.400.431;-2.887.990;1.835.048
CentralE;;1.206.766;2.037.067;-2.104.915;0.890572
TempDir;;1.763.514;2.466.937;-0.512285;1.185.692
TempEsq;;-0.480245;2.773.080;-2.987.685;3.146.681
ParietalD;;1.582.844;5.147.198;-2.247.549;3.237.217
ParietalE;;-0.647563;4.092.948;-3.223.276;3.137.666
OcipitalD;;8.764.925;8.609.192;4.146.261;6.685.980
OcipitalE;;6.354.156;7.820.409;3.207.349;5.977.077
