Freq. Range[13,30]
Name;#Ephocs;AC_A4.set;AC_B4.set;BL_A1.set;BL_B1.set
FrontalD;;-5.113126;-3.698549;-5.127207;-4.474804
FrontalE;;-6.744644;-3.536570;-7.065039;-2.790881
CentralD;;-4.911840;-4.939730;-6.969384;-4.599234
CentralE;;-6.533334;-5.227105;-6.545695;-4.533682
TempDir;;-4.829407;-4.568935;-5.520738;-3.797468
TempEsq;;-6.248631;-4.704660;-6.342902;-3.855086
ParietalD;;-6.345933;-3.718661;-7.584780;-3.846098
ParietalE;;-7.619141;-3.357748;-8.305289;-3.442193
OcipitalD;;-3.098780;-1.272359;-4.167142;-1.302164
OcipitalE;;-3.602568;-1.697457;-4.307034;-1.731903
