Freq. Range[5.000000e-01,3]
Name;#Ephocs;AC_A4.set;AC_B4.set;BL_A1.set;BL_B1.set
FrontalD;;1.852218;7.712886;0.750768;5.893182
FrontalE;;0.844352;7.485880;-0.279543;6.958163
CentralD;;-4.297430;1.544299;-4.011167;2.771140
CentralE;;-3.598581;0.745240;-3.507991;2.142950
TempDir;;-1.896676;1.866492;-2.060503;3.507647
TempEsq;;-3.706267;2.326322;-2.230895;4.903238
ParietalD;;-4.053341;3.072638;-4.270082;3.277735
ParietalE;;-4.074877;3.440823;-3.423065;4.465856
OcipitalD;;-1.626248;4.455937;-2.212281;4.396403
OcipitalE;;-2.105074;4.699575;-2.290240;6.190145
