Freq. Range[4,7.990000e+00]
Name;#Ephocs;AC_A4.set;AC_B4.set;BL_A1.set;BL_B1.set
FrontalD;;-1.225407;5.844588;-3.348012;5.141024
FrontalE;;-1.691424;5.726688;-3.911576;4.406919
CentralD;;-4.320460;1.321842;-5.989733;1.422575
CentralE;;-3.231941;0.843695;-5.228044;0.305275
TempDir;;-1.513997;2.277523;-3.620897;1.537035
TempEsq;;-3.916377;1.773173;-4.683857;2.754895
ParietalD;;-3.235181;2.799300;-6.151229;1.968060
ParietalE;;-4.451100;2.676345;-6.481062;2.719618
OcipitalD;;2.346453;5.396278;-1.800218;4.094054
OcipitalE;;0.388544;5.256121;-2.221572;4.599896
