suj,Power_BL01,Power_BL02,Power_BL03,Power_BL04,Power_IBOE,Wave
1,"2,501178","3,418458","-3,308669","-2,00762","-3,042272",Theta
2,"-3,632637","-4,01892","-4,166679","-2,734681","-3,173774",Theta
3,"-0,340521","-1,329878","-1,299613","-0,062003","-1,271794",Theta
4,"-0,833939","-0,718485","-0,793933","0,445258","2,333391",Theta
5,"-6,524175","-6,628558","-7,602114","-8,260716","-8,176159",Theta
6,"-0,783119","-1,519733","-1,923976","-0,925619","-1,389844",Theta
7,"-1,510043","-1,414523","-2,121929","-1,923519","-1,459398",Theta
1,"8,650575","9,653828","2,044513","3,352483","2,051747",Delta
2,"3,548504","2,29408","2,54076","4,709205","2,052798",Delta
3,"6,4746","4,140682","4,194712","7,311142","4,374842",Delta
4,"4,709072","4,265957","4,271945","6,482985","7,670924",Delta
5,"-0,106125","-0,615374","-1,387304","-1,936913","-2,1593",Delta
6,"2,895785","2,095132","2,418111","3,346195","3,006534",Delta
7,"3,303259","3,90185","3,494636","3,849599","3,636657",Delta
1,"-2,232348","-0,2493","-9,091253","-8,651785","-9,276571",Beta
2,"-6,152437","-5,713267","-6,899825","-5,170267","-5,113219",Beta
3,"-4,363002","-4,835706","-5,193606","-4,289684","-3,127831",Beta
4,"-7,98978","-7,845905","-7,362607","-6,846745","-2,356583",Beta
5,"-10,331984","-10,098818","-10,654307","-11,497467","-13,845636",Beta
6,"-9,460672","-9,885835","-9,219782","-7,102662","-8,395421",Beta
7,"-6,661031","-6,632968","-5,868608","-6,459224","-6,58337",Beta
1,"2,516656","2,648499","-3,448016","-1,914454","-1,281348",Alpha
2,"-2,795607","-2,23473","-2,811364","-2,102746","3,264236",Alpha
3,"-2,347754","-2,752041","-3,023463","-2,007748","0,234682",Alpha
4,"-4,326399","-4,29654","-4,412537","-3,346398","0,181874",Alpha
5,"-8,62402","-9,017477","-9,770509","-10,237181","-10,07086",Alpha
6,"-4,934888","-5,334172","-5,613819","-5,098537","-4,636623",Alpha
7,"-3,442603","-3,059018","-3,594008","-4,122599","-1,162631",Alpha

